Run Number,Word,Key,Reaction Time
5,SAFE,q,2.2781590550002875
5,OTHER,p,1.0051231260003988
5,BEGGAR,p,2.5150382249994436
5,HAPPY,q,3.127833845006535
5,OTHER,p,0.8202458930027205
5,HELPLESS,p,1.7056974189981702
5,INFERIOR,p,1.0908687580013066
5,TRAP,p,0.6774308040039614
5,OTHER,p,0.7956469089986058
5,OTHER,p,0.4908219110002392
5,OTHER,p,0.5415850540011888
5,OTHER,p,0.33145343700016383
5,SELF,q,0.5380154060039786
5,SELF,q,0.3179793400049675
5,SELF,q,0.2846590729968739
5,FUN,q,0.8851313850027509
5,SELF,q,0.4816387239989126
5,FREE,q,1.2503334819994052
5,SELF,q,0.45606900400161976
5,SELF,q,0.2789559550001286
5,OTHER,q,0.27539291699940804
5,SELF,q,0.7477278980004485
5,SELF,q,0.36260419199970784
5,ENEMY,p,1.27908376299456
5,TROUBLE,p,0.965900175004208
5,HELPFUL,q,1.440619979002804
5,SELF,q,0.5543234420038061
5,BITTER,q,0.5328630820004037
5,SELF,q,1.3257202800014056
5,SELF,q,0.37281453700416023
5,WEAK,p,0.6398695640018559
5,OTHER,p,0.9619060559998616
5,ALONE,p,0.8167243540010531
5,SELF,q,0.8547417029985809
5,OTHER,p,0.854417258000467
5,SELF,q,0.6740233630043804
5,OTHER,p,0.8725641569981235
5,ADMIRE,q,1.532518476000405
5,HERO,q,0.7622144720007782
5,BEAUTY,q,0.6817315270018298
5,NERVOUS,p,1.0703902059976826
5,LOVE,q,0.9306793170035235
5,WIN,q,0.5375290689989924
5,EMBARASS,p,0.6736150870056008
5,SKEPTICAL,p,1.293238049998763
5,OTHER,q,0.6877605249974295
5,KIND,q,1.8168511870026123
5,BRAVE,q,0.5253526379965479
5,OTHER,p,0.7537739849940408
5,OTHER,p,0.45249402599438326
5,SELF,q,0.5210361700010253
5,STRONG,q,1.285534208000172
5,OTHER,p,1.6381422080012271
5,DANGER,p,3.225704903001315
5,SAD,q,0.8542303039939725
5,SELF,p,2.809526299999561
5,VOMIT,p,3.252547121999669
5,TRANQUIL,q,1.0299986500031082
5,REJECTION,p,7.691666644997895
5,OTHER,p,0.5831798049985082

Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks
0.9233855848942767,25.854796377039747,28.0
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks
1.3703381074072374,36.99912889999541,27.0

3,SELF,p,3.287627418001648
3,OTHER,q,0.6370347470001434
3,TROUBLE,q,10.874786160005897
3,SELF,p,0.8007066659993143
3,OTHER,q,0.7909010110015515
3,SELF,p,1.373853869998129
3,SELF,p,1.0859553120026249
3,REGRET,q,1.0856203259972972
3,TEACHER,p,0.9190662920009345
3,SELF,p,2.672673109002062
3,HELPLESS,q,2.344529425005021
3,DANGER,q,3.506331415999739
3,HONEST,p,15.937929348998296
3,MODEL,p,0.6865565459956997
3,FUN,p,0.5818360019984539
3,WIN,p,0.6227368949985248
3,HELPFUL,p,1.3629150470005698
3,REJECTION,q,0.9197372679991531
3,OTHER,q,0.7424472970014904
3,SELF,p,0.9346495249992586
3,HAPPY,p,0.8964088600041578
3,VOMIT,q,0.7124823880003532
3,FAIL,q,1.0081129929967574
3,OTHER,q,0.7458056830000714
3,BITTER,q,0.8622601989991381
3,BEGGAR,q,0.6215888229999109
3,SCHOLAR,p,0.8346948789985618
3,WEAK,q,0.7407104349986184
3,OTHER,q,0.8925368369964417
3,INFERIOR,q,0.8540303849949851
3,OTHER,q,0.703838124005415
3,SHY,q,0.7833162290044129
3,SELF,p,0.7701218389993301
3,SELF,p,0.6480386769981124
3,SELF,p,0.8143712150049396
3,OTHER,q,0.7089425480007776
3,TRANQUIL,p,0.9191587349996553
3,SELF,p,0.7622940319997724
3,SELF,p,0.6413362090024748
3,SELF,p,0.6979198540066136
3,EMBARASS,q,0.7689337210031226
3,BEAUTY,p,0.8170557109988295
3,OTHER,q,0.6446540250035468
3,SAD,q,1.232305591001932
3,SELF,p,0.6274607559971628
3,OTHER,q,2.054703072004486
3,OTHER,q,0.5340883980024955
3,NERVOUS,q,1.4324048449998372
3,SUPERIOR,p,1.1926800250002998
3,ADMIRE,p,0.953210781000962
3,ENEMY,q,1.1091269079988706
3,OTHER,q,0.9325053870052216
3,SELF,p,0.6733378049975727
3,OTHER,q,0.7918092230029288
3,SELF,p,0.8686609470023541
3,OTHER,q,0.5911307320056949
3,PROUD,q,1.4396085260013933
3,OTHER,q,3.3559390340014943
3,OTHER,q,0.8241014029990765
3,SAFE,p,0.7774119879977661

Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks
1.5414524408572885,43.16066834400408,28.0
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks
1.4131198268721252,43.80671463303588,31.0

