Run Number,Word,Key,Reaction Time
5,OTHER,p,0.9642379283905029
5,SELF,q,0.8992648124694824
5,FUN,p,0.793381929397583
5,SELF,q,0.7666521072387695
5,SHY,q,1.2049641609191895
5,OTHER,p,0.589022159576416
5,FREE,p,1.1961290836334229
5,SELF,q,0.8602869510650635
5,SELF,q,0.38849711418151855
5,TRANQUIL,p,0.8904600143432617
5,OTHER,p,0.7232921123504639
5,SELF,q,0.6979608535766602
5,OTHER,p,0.4535229206085205
5,REJECTION,q,1.5258731842041016
5,SELF,q,0.8393259048461914
5,ALONE,q,1.0319359302520752
5,REGRET,q,2.4782090187072754
5,OTHER,p,2.0657389163970947
5,AFRAID,p,1.337615966796875
5,FAIL,q,1.570786952972412
5,BEGGAR,q,0.6597659587860107
5,MODEL,p,0.8602869510650635
5,SELF,q,0.6475870609283447
5,EMBARASS,q,1.588468074798584
5,SELF,q,0.5224330425262451
5,OTHER,p,0.5293359756469727
5,OTHER,p,0.379561185836792
5,OTHER,p,0.334414005279541
5,DANGER,q,1.093062162399292
5,SELF,q,0.506274938583374
5,FRIEND,p,0.842642068862915
5,ENEMY,q,2.0941948890686035
5,SELF,q,0.6218030452728271
5,TRAP,q,0.7852270603179932
5,HELPLESS,q,1.0340900421142578
5,JOY,p,1.163776159286499
5,OTHER,p,0.9242119789123535
5,OTHER,p,0.37703418731689453
5,SELF,q,0.5897729396820068
5,TEACHER,p,3.876491069793701
5,DISGRACE,q,0.9392881393432617
5,SELF,q,0.65830397605896
5,BEAUTY,p,0.8364801406860352
5,BRAVE,q,0.8226070404052734
5,OTHER,p,1.2018179893493652
5,WIN,p,0.9995191097259521
5,SELF,q,0.5752449035644531
5,OTHER,p,0.6584939956665039
5,SUPERIOR,p,0.9547920227050781
5,COWARD,q,1.0121541023254395
5,RESTLESS,q,0.8182950019836426
5,SELF,q,0.7568130493164062
5,SELF,q,0.37784290313720703
5,OTHER,p,0.5613930225372314
5,SCHOLAR,p,1.0929069519042969
5,SAD,q,0.7554469108581543
5,OTHER,p,0.7511599063873291
5,OTHER,p,0.3271470069885254
5,HELPFUL,p,0.9071338176727295
5,STRONG,p,0.9271020889282227

Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks
0.658166915178299,10.530670642852783,16.0
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks
0.7611249536275864,12.177999258041382,16.0

3,DISGRACE,q,1.038196086883545
3,SELF,p,0.9812428951263428
3,OTHER,q,0.6917340755462646
3,SELF,p,0.5631651878356934
3,BRAVE,p,0.8004770278930664
3,SAFE,p,0.5947539806365967
3,SELF,p,0.6409680843353271
3,SKEPTICAL,q,1.483788013458252
3,SELF,p,0.5822529792785645
3,FUN,p,1.1929988861083984
3,HELPFUL,q,0.7910528182983398
3,TEACHER,p,1.6035850048065186
3,OTHER,q,1.020880937576294
3,SELF,p,0.8182070255279541
3,OTHER,q,0.6351461410522461
3,SELF,p,0.4492378234863281
3,EMBARASS,q,0.8652231693267822
3,OTHER,q,0.7146148681640625
3,HONEST,p,0.6709821224212646
3,SELF,p,0.8085880279541016
3,INTIMATE,p,1.9123060703277588
3,SELF,p,0.5236458778381348
3,OTHER,q,0.8105459213256836
3,ENEMY,q,0.7454001903533936
3,OTHER,q,0.506580114364624
3,OTHER,q,0.36270904541015625
3,BEGGAR,q,0.7016358375549316
3,SELF,p,0.6306040287017822
3,SHY,q,0.7023711204528809
3,HAPPY,p,1.067492961883545
3,LOVE,p,0.677271842956543
3,PROSPECT,p,0.7488739490509033
3,SELF,q,0.6829400062561035
3,ADMIRE,p,0.7745640277862549
3,OTHER,q,0.6716279983520508
3,TERRIFIC,p,0.6443099975585938
3,OTHER,q,0.6315121650695801
3,MODEL,p,0.7941768169403076
3,OTHER,q,0.9860169887542725
3,SELF,p,0.5263960361480713
3,REGRET,q,1.2632479667663574
3,OTHER,q,0.9766149520874023
3,JOY,p,0.6548008918762207
3,BITTER,q,0.834996223449707
3,PROUD,p,0.9638757705688477
3,FREE,p,0.740617036819458
3,SELF,p,0.7034029960632324
3,OTHER,q,0.6636168956756592
3,SCHOLAR,p,0.6857950687408447
3,TROUBLE,q,0.8651149272918701
3,OTHER,q,0.7707610130310059
3,FRIEND,p,0.6038610935211182
3,SELF,p,0.6857190132141113
3,SELF,p,0.351909875869751
3,HERO,p,0.49312305450439453
3,TRUST,p,0.5429151058197021
3,OTHER,q,0.8075878620147705
3,SELF,p,0.7656879425048828
3,FAIL,q,0.6613450050354004
3,OTHER,q,0.8250441551208496

Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks
0.7672968283295631,24.55349850654602,32.0
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks
0.8094524669647217,20.236311674118042,25.0

