Run Number,Word,Key,Reaction Time
5,SELF,p,1.961537134000082
5,REJECTION,q,0.7334003060000214
5,SELF,q,2.4023034350000216
5,SELF,q,0.5478089420000742
5,SELF,q,0.5046530120000625
5,STRONG,p,5.199157849999892
5,EMBARASS,q,0.9759394860000157
5,SELF,q,0.8834058219999861
5,OTHER,q,0.5221758069999396
5,SELF,q,0.4319583410001542
5,PROUD,p,0.7217436339999495
5,LOVE,p,0.959332330000052
5,OTHER,q,0.7234201300000223
5,WIN,p,0.5690131100000144
5,JOY,p,0.8446792189999996
5,SELF,p,0.4615867579998394
5,AFRAID,q,0.605942025000104
5,OTHER,q,0.5682897509998384
5,SELF,p,0.9159825090000595
5,WEAK,q,0.7301355140000396
5,OTHER,p,0.5676967069998682
5,BEAUTY,p,0.4273353789999419
5,BRAVE,p,0.5090330289999656
5,OTHER,p,0.43545943300000545
5,INTIMATE,p,0.5085627680000471
5,DISGRACE,q,0.5228659960000641
5,OTHER,p,0.32859007599995493
5,TEACHER,p,0.38241404599989437
5,OTHER,p,0.44215368799996213
5,COWARD,q,0.483211558999983
5,OTHER,p,0.3142774059999738
5,SAFE,p,0.3607487520000632
5,HELPLESS,q,0.6291451130000496
5,SELF,p,0.3589000649999434
5,ENEMY,q,0.6273026639998989
5,OTHER,p,0.3729030709998824
5,BITTER,q,0.5527312579999943
5,HERO,p,0.37292528900002253
5,MODEL,q,0.720726261999971
5,SELF,q,1.4064891480002188
5,INFERIOR,q,0.6483443790000365
5,SELF,q,0.4253139980000924
5,OTHER,q,0.5550657270000556
5,OTHER,q,0.32739374099992347
5,SELF,q,0.42121360999999524
5,OTHER,q,0.3909119099998861
5,ALONE,q,1.1140386460001537
5,TRAP,q,0.6560475740000129
5,KIND,q,0.43241291499998624
5,OTHER,q,0.4901728610000191
5,FREE,p,0.6331599970001207
5,SELF,q,0.6421980879999865
5,IMPULSE,p,0.5631618140000683
5,SELF,p,0.6234675680000237
5,OTHER,p,0.3930822699999226
5,REGRET,q,0.5962241160000303
5,ADMIRE,p,0.39113051799995446
5,SELF,q,0.9622810839998692
5,TERRIFIC,p,0.710445719000063
5,OTHER,p,0.4446908289999101

Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks
0.8150637214167015,9.780764657000418,12.0
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks
0.45724610129996107,4.572461012999611,10.0

3,ADMIRE,p,0.1533874790000027
3,STRONG,p,0.7101692950000142
3,SELF,p,0.33239753699990615
3,OTHER,p,0.330200454000078
3,COWARD,q,0.5919324390001748
3,FAIL,q,0.5790169060001062
3,OTHER,p,1.3186945979998654
3,BRAVE,p,0.4517885729999307
3,RESTLESS,q,0.9483939550000287
3,SUPERIOR,q,0.5211582350000299
3,WIN,p,0.3668352459999369
3,OTHER,p,0.16259250999996766
3,TRUST,p,0.10313964000010856
3,OTHER,q,0.6057215129999349
3,SELF,p,0.407956065999997
3,HELPLESS,p,0.3543493919999037
3,PROSPECT,p,0.1428124999999909
3,OTHER,p,0.3800317359998644
3,HERO,q,0.30390745399995467
3,OTHER,q,0.3261941900000238
3,KIND,q,0.2840540619999956
3,ALONE,p,0.2511882350001997
3,OTHER,p,0.1476373489999787
3,SHY,q,0.2808545210000375
3,SELF,q,0.10453789400003188
3,SELF,p,0.20717394500002229
3,OTHER,p,0.14570755299996563
3,TRANQUIL,p,0.2069110580000597
3,SELF,p,0.3214472659999501
3,BEGGAR,q,0.47922234399993613
3,SELF,p,0.44700410299992654
3,HAPPY,p,0.4400257839999995
3,OTHER,p,0.3049989710000318
3,SELF,p,0.30350617900012367
3,SELF,p,0.2699873080000543
3,OTHER,p,0.21388342899990676
3,SELF,p,0.344391934999976
3,TRAP,p,0.2853912009998112
3,WEAK,q,0.2044648660000803
3,SELF,p,0.23904986499996994
3,ENEMY,p,0.048234905000072104
3,FRIEND,p,0.08146343199996409
3,OTHER,q,0.1293925570000738
3,OTHER,q,0.24728812400007882
3,SKEPTICAL,q,0.20849558600002638
3,SELF,p,0.45094697900003666
3,REJECTION,p,0.1552454420000231
3,JOY,q,0.38389193399984833
3,HELPFUL,p,0.40297115099997427
3,SELF,p,0.5333971959998962
3,FREE,p,0.25838627100006306
3,OTHER,p,0.4908957239999836
3,OTHER,p,0.3619086139999581
3,OTHER,p,0.3423929440000393
3,AFRAID,p,0.6275062150000394
3,SELF,q,0.30910622500005047
3,SELF,p,0.31541804899984527
3,SELF,p,0.08998250200011171
3,FUN,p,0.30520136699988143
3,MODEL,p,0.31963735199997245

Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks
0.31559184915383515,8.205388077999714,26.0
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks
0.418270636454591,4.600977001000501,11.0

