Run Number,Word,Key,Reaction Time
3,SELF,p,0.825813562998519
3,SELF,p,0.3935153519996675
3,LOVE,p,0.5841454830006114
3,TRUST,q,0.6099427299996023
3,OTHER,q,2.0636318569995638
3,JOY,p,0.38748194299842
3,SELF,p,0.5275646999980381
3,WEAK,q,0.8458334530005231
3,SHY,p,0.3911066900000151
3,OTHER,q,1.6198807360015053
3,SELF,p,0.4971838220008067
3,SELF,p,0.3873166229968774
3,SKEPTICAL,q,0.542635159999918
3,SELF,p,0.548208539999905
3,REJECTION,q,0.7798981119995005
3,STRONG,p,0.5519690229994012
3,ENEMY,q,0.5808471039999858
3,SELF,p,0.4226837140013231
3,OTHER,q,0.7355587530000776
3,BEAUTY,p,0.5009305870007665
3,OTHER,q,0.4548465150000993
3,OTHER,p,0.4131218349975825
3,MODEL,p,0.9284244480004418
3,TROUBLE,q,0.6259385660014232
3,HAPPY,p,0.3223368470025889
3,FREE,p,0.35891103799804114
3,SELF,p,0.42241460000150255
3,OTHER,q,0.39447725199715933
3,OTHER,q,0.3893398959990009
3,KIND,p,0.5996662779980397
3,FAIL,q,0.5921375470024941
3,DANGER,q,0.54951786699894
3,SAD,p,0.6891214639981627
3,OTHER,q,0.6650466649989539
3,OTHER,q,0.6189398440001241
3,INFERIOR,q,0.546121209001285
3,HERO,p,0.4964033609976468
3,SELF,q,0.4719477340004232
3,PROSPECT,p,0.8853442489998997
3,OTHER,p,0.5913868009993166
3,AFRAID,q,0.9679384230003052
3,DISGRACE,p,0.37995213999965927
3,OTHER,q,0.9134154230014246
3,SAFE,p,0.627279758999066
3,SELF,p,0.8103407220005465
3,SELF,p,0.37380051400032244
3,SELF,p,0.3002834550025
3,OTHER,q,0.6743631489989639
3,OTHER,q,0.667351256000984
3,TRAP,q,0.7250997300034214
3,SELF,p,0.6508866660005879
3,BEGGAR,q,0.662009138999565
3,SELF,p,0.6613063460026751
3,COWARD,q,0.7014067050004087
3,OTHER,q,0.6706318230026227
3,TERRIFIC,p,0.6781191890004266
3,FUN,p,1.7888624949991936
3,OTHER,q,0.6641233939990343
3,HELPFUL,p,0.6482313480009907
3,SELF,q,0.6140965559970937

Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks
0.5962040567691684,15.501305475998379,26.0
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks
0.7460395831202914,18.650989578007284,25.0

5,BEGGAR,p,4.042665688000852
5,BITTER,p,0.512402092001139
5,OTHER,q,1.2182784700016782
5,TEACHER,p,0.3460806470029638
5,OTHER,q,8.345699825997144
5,HELPFUL,p,1.0493963529988832
5,OTHER,p,1.7632931959997222
5,KIND,q,1.0605035899970972
5,SELF,q,0.8004622720000043
5,LOVE,q,0.5998188630001096
5,OTHER,p,0.6139850840008876
5,OTHER,p,0.34758365100060473
5,SELF,q,0.4072336989993346
5,SELF,p,0.335804582999117
5,OTHER,q,0.451033434997953
5,SELF,q,0.24940680200234056
5,SELF,q,0.277107376998174
5,HAPPY,q,2.0741703669991693
5,REGRET,p,0.66736381499868
5,MODEL,q,0.7051747279983829
5,OTHER,q,0.8648339909996139
5,OTHER,q,0.4387516209972091
5,SELF,q,0.9757601810015331
5,DANGER,p,0.7689559399987047
5,OTHER,q,0.4411514890016406
5,WIN,q,1.0031191270027193
5,SELF,p,0.7610960990023159
5,ADMIRE,q,0.38398092100032954
5,STRONG,p,0.35404782200203044
5,TRAP,p,0.3975085409983876
5,SELF,p,0.44280839699786156
5,SELF,p,0.3728405980000389
5,OTHER,q,0.5399368430007598
5,SAD,q,0.365172290999908
5,IMPULSE,p,0.6539744850015268
5,ALONE,p,0.7287938039989967
5,EMBARASS,p,0.5210200139990775
5,OTHER,p,0.4578199579991633
5,WEAK,p,0.5068524320013239
5,HONEST,p,0.7161969580010918
5,OTHER,q,0.6543430710007669
5,REJECTION,p,1.3355204280014732
5,SELF,q,0.8188335550003103
5,SELF,q,0.35043927899823757
5,OTHER,q,0.3740588429973286
5,SELF,p,0.4661289560026489
5,SELF,p,0.36271012700308347
5,PROSPECT,q,0.8428041519982798
5,OTHER,p,0.8948230570022133
5,HELPLESS,p,0.9717873789995792
5,SELF,q,6.778546543999255
5,TERRIFIC,p,0.4223361289987224
5,BEAUTY,q,1.1364117479970446
5,FRIEND,q,0.48631314599333564
5,SCHOLAR,q,0.4414108409982873
5,SKEPTICAL,p,0.7026124600015464
5,SELF,q,0.3559860449968255
5,RESTLESS,p,0.568076370000199
5,FUN,q,0.3868268460064428
5,OTHER,q,0.467733978999604

Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks
1.0067155041493607,20.134310082987213,20.0
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks
0.8882828696317263,16.8773745230028,19.0

